Coin Name,Symbol,Price (USD),1h Change (%),Market Cap,Volume (24h),Circulating Supply
CoinMarketCap 20 Index DTF,CMC20,127.69,0.16,6050000.0,1570000.0,47430.0
Bitcoin,BTC,62905.02,0.01,1260000000000.0,30990000000.0,20060000.0
Ethereum,ETH,1861.07,0.27,224490000000.0,10560000000.0,120680000.0
Tether,USDT,0.999,0.01,183630000000.0,56830000000.0,183810000000.0
BNB,BNB,586.67,0.21,78080000000.0,1230000000.0,133160000.0
USDC,USDC,0.9998,0.01,71920000000.0,9790000000.0,71940000000.0
XRP,XRP,1.06,0.06,66340000000.0,1160000000.0,62530000000.0
Solana,SOL,72.87,0.24,42240000000.0,1610000000.0,579700000.0
TRON,TRX,0.3258,0.03,30910000000.0,473310000.0,94880000000.0
Hyperliquid,HYPE,52.77,0.92,13320000000.0,385760000.0,252490000.0
Dogecoin,DOGE,0.06945,0.41,10780000000.0,572720000.0,155300000000.0
UNUS SED LEO,LEO,9.75,0.0,8970000000.0,515230.0,920070000.0
Zcash,ZEC,455.74,0.22,7650000000.0,285310000.0,16790000.0
Monero,XMR,354.89,0.58,6660000000.0,93100000.0,18780000.0
Cardano,ADA,0.1687,0.85,6160000000.0,318820000.0,36500000000.0
LayerZero,ZRO,0.7379,0.2,268070000.0,28930000.0,363280000.0
AINFT,NFT,0.062691,0.82,266440000.0,6580000.0,990100000000000.0
BitTorrent [New],BTT,0.062614,0.18,258040000.00000003,4450000.0,987030000000000.0
KAITO,KAITO,1.05,1.45,255660000.0,53800000.0,241380000.0
Jito,JTO,0.5061,0.46,255370000.0,25600000.0,504560000.0
Bitcoin SV,BSV,12.58,0.47,252500000.0,8450000.0,20060000.0
Stacks,STX,0.1388,0.4,251970000.0,4730000.0,1810000000.0
Pendle,PENDLE,1.44,0.39,247330000.0,24390000.0,171750000.0
Monad,MON,0.0207,0.02,244880000.0,14140000.0,11820000000.0
Bonk,BONK,0.052774,0.42,244180000.0,33610000.0,87990000000000.0
Decred,DCR,13.16,0.13,230930000.0,3640000.0,17530000.0
Conflux,CFX,0.04275,0.84,223520000.0,87220000.0,5220000000.0
Tezos,XTZ,0.2002,0.34,218720000.0,4940000.0,1090000000.0
JasmyCoin,JASMY,0.004301,0.92,212680000.0,7320000.0,49440000000.0
Immutable,IMX,0.1062,0.19,212500000.0,10400000.0,2000000000.0
Rain,RAIN,0.01275,0.02,8850000000.0,27530000.0,694570000000.0
Decimal,DEL,0.7339,1.13,8160000000.0,236610.0,11120000000.0
Ondo US Dollar Yield,USDY,1.14,0.0,2150000000.0,540150.0,1880000000.0
HTX,HTX,0.051779,0.03,1590000000.0,36270000.0,898230000000000.0
Falcon USD,USDf,0.9952,0.06,1250000000.0,587510.0,1260000000.0
USDGO,USDGO,1.0,0.01,1110000000.0,14040000.0,1110000000.0
c8ntinuum,CTM,0.1946,1.14,867730000.0,14480000.0,4450000000.0
Jupiter Perps LP,JLP,3.55,0.1,797050000.0,2130000.0,224060000.0
Beldex,BDX,0.0825,0.08,649330000.0,11920000.0,7860000000.0
GHO,GHO,0.9983,0.01,647910000.0,1350000.0,649000000.0
Usual USD,USD0,0.9993,0.0,556020000.0,36490.0,556380000.0
Solstice USX,USX,1.0,0.02,518340000.00000006,23780000.0,517030000.0
USDai,USDAI,0.9995,0.01,501100000.0,5610.0,501350000.0
Unibase,UB,0.1581,0.16,395370000.0,14190000.0,2500000000.0
Ducky,DUCKY,0.0006289,0.02,260640000.0,917.45,414400000000.0
Ravencoin,RVN,0.003576,0.11,58580000.0,2210000.0,16379999999.999998
Pharos,PROS,0.4295,0.59,58250000.0,5170000.0,135600000.0
Jelly-My-Jelly,JELLYJELLY,0.05782,0.31,57820000.0,3140000.0,999990000.0
Billions Network,BILL,0.02377,0.43,57720000.0,7340000.0,2420000000.0
ZIGChain,ZIG,0.04002,0.09,56390000.0,5970000.0,1400000000.0
Baby Doge Coin,BabyDoge,0.093124,1.03,55980000.0,4240000.0,
Magma Finance,MAGMA,0.2916,0.27,55420000.0,1150000.0,190000000.0
Kusama,KSM,2.95,0.36,54950000.0,2350000.0,18590000.0
Allora,ALLO,0.2719,0.76,54510000.0,24540000.0,200500000.0
Turbo,TURBO,0.0007908,0.14,54570000.0,7470000.0,68990000000.0
aPriori,APR,0.1945,0.39,54060000.0,2500000.0,277810000.0
OpenLedger,OPEN,0.1736,0.01,53740000.0,7520000.0,309580000.0
Nano,XNO,0.4031,0.13,53710000.0,230710.0,133240000.00000001
Theta Fuel,TFUEL,0.007252,0.09,53790000.0,582150.0,7410000000.0
FUNToken,FUN,0.004943,0.12,53410000.0,1800000.0,10800000000.0
NVIDIA Tokenized Stock (Ondo),NVDAon,200.13,0.23,38940000.0,2810000.0,194590.0
Peanut the Squirrel,PNUT,0.03893,0.24,38920000.0,7410000.0,999840000.0
Ronin,RON,0.05036,1.96,38900000.0,3020000.0,772400000.0
BitDCA,BDCA,0.4744,0.66,38890000.0,138940.0,81970000.0
Threshold,T,0.003481,0.81,38830000.0,8600000.0,11150000000.0
Irys,IRYS,0.01509,1.01,38730000.0,5440000.0,2560000000.0
Mog Coin,MOG,0.07989,0.1,38620000.0,7220000.0,390560000000000.0
Gemini Dollar,GUSD,0.9995,0.0,38620000.0,692530.0,38640000.0
Brett (Based),BRETT,0.003855,0.29,38550000.0,4290000.0,9990000000.0
Creditcoin,CTC,0.06999,0.66,38460000.0,3450000.0,549560000.0
Eurite,EURI,1.15,0.01,38180000.0,5360000.0,33130000.000000004
Orochi Network,ON,0.264,1.98,38100000.0,16649999.999999998,144270000.0
Celo,CELO,0.06276,0.03,37890000.0,2009999.9999999998,603760000.0
Tellor,TRB,13.52,0.18,37840000.0,7750000.0,2790000.0
Paycoin,PCI,0.03535,0.06,37760000.0,581340.0,1060000000.0
Asteroid Shiba,ASTEROID,6.758e-05,4.53,28430000.0,9280000.0,420690000000.0
Nockchain,NOCK,0.01268,0.28,28590000.0,667300.0,2250000000.0
Mango,MNGO,0.02558,0.27,28590000.0,3740.0,1110000000.0
USDK,USDK,0.9993,0.0,28580000.0,,28600000.0
Hims & Hers Health Tokenized Stock (Ondo),HIMSon,27.67,0.2,28540000.0,1040000.0,1030000.0
Wiki Cat,WKC,0.075296,0.77,28410000.0,175590.0,536419999999999.94
WINkLink,WIN,2.853e-05,0.09,28350000.0,6900000.0,993700000000.0
Siacoin,SC,0.0005037,0.18,28220000.0,2490000.0,56020000000.0
Dusk,DUSK,0.05677,0.47,28210000.0,3250000.0,496990000.0
Impossible Cloud Network,ICNT,0.1107,0.69,28010000.0,3840000.0,253000000.0
Manta Network,MANTA,0.0586,0.33,27990000.0,2220000.0,477760000.0
Semicon Bull 3X ETF Tokenized bStocks,SOXLB,113.71,0.75,27900000.0,74140000.0,245360.0
Block Street,BSB,0.118,0.51,27890000.0,663280000.0,236300000.0
Bancor,BNT,0.2624,0.37,27830000.0,2800000.0,106040000.0
Anoma,XAN,0.01112,0.13,27810000.0,1650000.0,2500000000.0
Illuvium,ILV,2.83,0.07,20820000.0,1620000.0,7340000.0
Somnia,SOMI,0.08481,0.17,20630000.0,2950000.0,243230000.0
GMT,GMT,0.006623,0.91,20600000.0,8520000.0,3110000000.0
Micron Tokenized Stock (Reality),rMU,819.57,0.07,20580000.0,1140000.0,25110.0
Chia,XCH,1.42,0.46,20520000.0,786200.0,14410000.0
IoTeX,IOTX,0.002171,0.62,20490000.0,951540.0,9440000000.0
MetaMask USD,mUSD,1.0,0.01,20440000.0,4330000.0,20360000.0
SanDisk Tokenized Stock (Reality),rSNDK,1211.41,0.35,20380000.0,2040000.0,16830.0
Steem,STEEM,0.03662,0.09,20290000.0,2330000.0,554190000.0
"OpenAI
Pre-IPO stock (Republic)",preOPAI,697.68,0.08,20290000.0,152840.0,29080.0
Wibx,WBX,0.001715,0.1,20150000.0,13630.0,11750000000.0
Sapien,SAPIEN,0.08044,0.38,20110000.0,4120000.0,250000000.0
RollX,ROLL,0.1296,0.18,20090000.0,432160.0,155000000.0
TokenPocket,TPT,0.005789,0.1,20060000.0,10970.0,3460000000.0
Ontology Gas,ONG,0.04195,0.09,20010000.0,430340.0,477120000.0
Infinex,INX,0.008031,2.62,16010000.000000002,1280000.0,1990000000.0
STBL,STBL,0.02271,0.92,15890000.0,1670000.0,700000000.0
Bless,BLESS,0.008178,0.83,15880000.0,1700000.0,1940000000.0
Fulcrom Finance,FUL,0.0009495,0.01,15860000.0,101.67,16700000000.0
Araracoin,ARARA,0.0004371,0.05,15840000.0,15290.0,36250000000.0
Blast,BLAST,0.0002381,0.06,15820000.0,3020000.0,66430000000.00001
Velodrome Finance,VELO,0.01727,0.53,15800000.0,916720.0,915200000.0
WalletConnect Token,WCT,0.03636,0.05,15790000.0,6260000.0,434300000.0
Marvell Technology Tokenized Stock (Ondo),MRVLon,187.9,1.04,15660000.0,1740000.0,83360.0
RIZE,RIZE,0.00791,4.35,15580000.0,1000000.0,1970000000.0
Humidifi,WET,0.06773,0.88,15570000.0,3100000.0,230000000.0
TAC Protocol,TAC,0.003214,0.54,15550000.0,1770000.0,4830000000.0
Adshares,ADS,0.4011,0.2,15540000.0,84600.0,38740000.0
Yei Finance,CLO,0.1189,0.92,15350000.0,1810000.0,129100000.0
GameBuild,GAME,0.000797,0.24,15300000.0,301660.0,19200000000.0
Aurora,AURORA,0.01678,0.78,12160000.0,474110.0,724750000.0
Firo,FIRO,0.6443,1.23,12150000.0,249700.0,18860000.0
SoFi Technologies Tokenized Stock (Ondo),SOFIon,16.26,0.17,12090000.0,249160.0,743820.0
Pythia,PYTHIA,0.01207,0.05,12050000.0,247740.0,998150000.0
Radworks,RAD,0.2037,0.26,12030000.0,3220000.0,59070000.0
Metadium,META,0.006896,0.0,12010000.0,45910.0,1740000000.0
Strategy Tokenized bStocks,MSTRB,92.99,0.77,11960000.0,8480000.0,128690.0
USDB,USDB,0.9969,0.24,11960000.0,7690.0,12000000.0
iShares Gold Trust Tokenized ETF (Ondo),IAUon,75.76,0.13,11940000.0,1050000.0,157710.0
OG Fan Token,OG,2.5,0.25,11930000.0,2320000.0,4750000.0
SaucerSwap,SAUCE,0.01294,0.24,11860000.0,17920.0,916780000.0
Orchid,OXT,0.01186,3.06,11820000.0,3350000.0,997210000.0
Bitcoin Diamond,BCD,0.06321,0.0,11780000.0,,186490000.0
XSGD,XSGD,0.7797,0.15,11780000.0,477190.0,15110000.0
Tesla Tokenized bStocks,TSLAB,310.04,0.62,11760000.0,9000000.0,37930.0
Hegic,HEGIC,0.01357,0.84,9550000.0,76.07,703720000.0
Maverick Protocol,MAV,0.008041,0.42,9430000.0,1240000.0,1170000000.0
Nexa (nexaagent.xyz),NXA,0.9408,0.12,9400000.0,,10000000.0
AITECH Cloud Network,ACN,0.005235,0.02,9340000.0,1330000.0,1780000000.0
Boba Network,BOBA,0.01883,0.05,9290000.0,1000000.0,493580000.0
Clash of Lilliput,COL,0.1129,0.12,9260000.0,,82070000.0
Decentrawood,DEOD,0.01605,0.21,9210000.0,256790.00000000003,574370000.0
Nebius Tokenized bStocks,NBISB,189.95,0.19,9200000.0,6070000.0,48480.0
Dolomite,DOLO,0.02084,0.02,9200000.0,2570000.0,441620000.0
Intuition,TRUST,0.0511,0.33,9180000.0,5090000.0,179640000.0
KernelDAO,KERNEL,0.03204,0.08,9170000.0,4110000.0000000005,286300000.0
Ninja Squad Token,NST,1.06,0.06,9170000.0,223200.0,8610000.0
Jimothy The Raccoon,JIMOTHY,0.009182,0.85,9180000.0,7170000.0,999940000.0
Moonbeam,GLMR,0.007601,0.05,9150000.0,3070000.0,1200000000.0
Fartboy,FARTBOY,0.009159,0.08,9150000.0,463990.0,999440000.0
Drift,DRIFT,0.01213,3.01,7420000.0,2370000.0,611510000.0
AS Roma Fan Token,ASR,0.8469,0.28,7390000.0,3250000.0,8730000.0
Tradoor,TRADOOR,0.5146,0.21,7380000.0,1530000.0,14340000.0
Applied Optoelectronics Tokenized bStocks,AAOIB,93.78,1.01,7370000.0,1870000.0,78610.0
MyShell,SHELL,0.01802,0.03,7370000.0,3930000.0,409110000.0
AVA,AVA,0.007353,0.99,7340000.0,539290.0,999190000.0
SpaceX tokenized stock (Backpack),SPCX,108.07,0.23,7250000.0,549860.0,67120.0
iShares MSCI Emerging Markets Tokenized ETF (Ondo),EEMon,64.97,0.05,7240000.0,504730.0,111490.0
StablR Euro,EURR,0.609,0.01,7230000.0,326.53,11880000.0
Haedal Protocol,HAEDAL,0.01496,0.24,7230000.0,1820000.0,483330000.0
Venus DAI,vDAI,0.02618,0.0,7190000.0,,274530000.0
DACXI,DXI,0.0008491,1.8,7130000.0,448520.0,8390000000.000001
Balancer,BAL,0.1015,1.23,7080000.0,384890.0,69780000.0
Pepecoin,PEP,6.882e-05,1.07,7080000.0,18490.0,102920000000.0
FC Barcelona Fan Token,BAR,0.2692,1.03,7060000.0,2390000.0,26230000.0
Grove,GROVE,0.009636,0.13,5710000.0,671970.0,593560000.0
Layer3,L3,0.004597,0.78,5710000.0,1870000.0,1240000000.0
Hyperion,RION,0.1628,0.02,5710000.0,221390.0,35080000.0
RACA,RACA,1.386e-05,0.91,5700000.0,260720.00000000003,411670000000.0
Tradr 2X Long SNDK ETF Tokenized bStocks,SNXXB,9.3,0.08,5680000.0,19250000.0,610760.0
MAP Protocol,MAPO,0.000911,0.03,5680000.0,520190.00000000006,6230000000.0
SymVerse (symverse.org),SYMM,0.03436,0.01,5670000.0,9890.0,165170000.0
Elastos,ELA,0.2456,0.01,5670000.0,243470.0,23080000.0
Mamo,MAMO,0.009449,0.21,5660000.0,762630.0,599390000.0
Broadcom Tokenized Stock (Ondo),AVGOon,389.13,0.47,5660000.0,3050000.0,14550.0
Alltoscan,ATS,0.07643,0.19,5630000.0,806990.0,73730000.0
Treehouse,TREE,0.03597,0.57,5610000.0,3830000.0,156120000.0
Bitlight,LIGHT,0.1302,0.31,5600000.0,3260000.0,43050000.0
Utrust,UTK,0.007942,0.01,5590000.0,5090000.0,704060000.0
Save,SAVE,0.1221,0.0,5570000.0,,45660000.0
Edel,EDEL,0.007109,0.54,4380000.0,698800.0,616750000.0
Viction,VIC,0.03418,0.32,4350000.0,1850000.0,127500000.0
MAGIC•INTERNET•MONEY (Bitcoin),MIM,0.0002075,1.53,4350000.0,4450.0,21000000000.0
Lockheed Tokenized Stock (Ondo),LMTon,592.08,0.36,4350000.0,1320000.0,7350.0
Lingo,LINGO,0.008885,0.02,4320000.0,162880.0,486200000.0
NEM,XEM,0.0004797,0.37,4310000.0,239490.0,8990000000.0
MonaCoin,MONA,0.06541,1.0,4290000.0,5290.0,65720000.0
Bytecoin,BCN,2.327e-05,0.0,4280000.0,,184060000000.0
AIVille Governance Token,AIV,0.00154,0.01,4270000.0,44.18,2770000000.0
RSS3,RSS3,0.004585,0.08,4260000.0,1410000.0,929610000.0
HOPR,HOPR,0.01241,0.16,4230000.0,78790.0,341170000.0
Galeon,GALEON,0.005123,0.0,4220000.0,,824770000.0
ARAI,AA,0.02857,0.2,4210000.0,1130000.0,147340000.0
CateCoin,CATE,0.077348,0.13,4200000.0,838.91,57270000000000.0
PlatON,LAT,0.0006049,0.4,4200000.0,1600000.0,6950000000.0
Ampleforth Governance Token,FORTH,0.2289,5.57,3280000.0,3170000.0,14340000.0
VitaDAO,VITA,0.2294,0.11,3310000.0,3810.0,14440000.0
Roundhill Memory ETF Tokenized ETF (Ondo),DRAMon,50.02,1.17,3300000.0,1400000.0,66140.0
AST SpaceMobile Tokenized Stock (Ondo),ASTSon,58.92,0.05,3300000.0,202940.0,56090.0
Ren,REN,0.003323,0.11,3290000.0,8210.0,992870000.0
World3,WAI,0.009723,0.12,3290000.0,92400.0,339060000.0
Marina Protocol,BAY,0.01647,0.87,3290000.0,515039.99999999994,200000000.0
Djed,DJED,0.9998,0.0,3290000.0,,3290000.0
Alibaba Tokenized Stock (Ondo),BABAon,123.11,0.16,3280000.0,1810000.0,26710.0
CESS Network,CESS,0.001241,0.23,3280000.0,169600.0,2650000000.0
GAIB,GAIB,0.01604,0.09,3280000.0,455660.0,204830000.0
Gems,GEMS,0.005486,0.34,3280000.0,148500.0,598860000.0
Advanced Micro Devices Tokenized bStocks,AMDB,479.08,0.3,3280000.0,4740000.0,6840.0
Odos,ODOS,0.0008983,3.85,3360000.0,441790.0,3740000000.0
Purple Pepe,$PURPE,0.057838,0.21,3270000.0,218630.0,417210000000.0
PeiPei (ETH),PEIPEI,0.086289,0.98,2640000.0,30710.0,420680000000000.0
Suku,SUKU,0.003956,0.01,2620000.0,4330.0,664040000.0
IMPT,IMPT,0.001837,0.35,2620000.0,279310.0,1420000000.0
Book of Ethereum,BOOE,0.02714,0.48,2610000.0,14640.0,96190000.0
Forest Protocol,FOREST,0.02222,0.09,2600000.0,187120.0,117180000.0
Meta Tokenized Stock (Reality),rMETA,554.8,0.08,2590000.0,155200.0,4680.0
Not Pixel,PX,0.01322,0.04,2580000.0,1130.0,195420000.0
VOOI,VOOI,0.00747,0.05,2570000.0,430670.0,344850000.0
MATH,MATH,0.02248,0.28,2570000.0,112920.0,114350000.0
GOLDAO,GOLDAO,0.00324,0.32,2560000.0,445.59,792550000.0
Aleph Zero,AZERO,0.009583,2.42,2550000.0,156510.0,266769999.99999997
Vara Network,VARA,0.0004274,0.26,2540000.0,13730.0,5960000000.0
EarthMeta,EMT,0.00177,0.52,2540000.0,23360.0,1430000000.0
Tectum,TET,0.2561,0.04,2540000.0,109700.0,9930000.0
Bellscoin,BELLS,0.04134,0.0,2540000.0,8440.0,61480000.0
DOWGE,DJI6930,0.002047,0.52,2040000.0,159560.0,999970000.0
Flying Tulip,FT,0.09937,1.25,2040000.0,242970.0,20580000.0
TSMC Tokenized Stock (Reality),rTSM,404.09,0.04,2040000.0,171250.0,5050.0
AXT Tokenized bStocks,AXTIB,59.16,2.37,2029999.9999999998,6720000.0,34460.0
ProShares UltraPro QQQ Tokenized bStocks,TQQQB,64.08,0.61,2029999.9999999998,1760000.0,31780.0
Numbers Protocol,NUM,0.002247,0.47,2029999.9999999998,185590.0,904010000.0
Alibaba Tokenized bStocks,BABAB,121.88,0.18,2020000.0,1290000.0,16590.0
Qualcomm Tokenized bStocks,QCOMB,147.44,0.16,2020000.0,1640000.0,13710.0
Streamflow,STREAM,0.00781,0.13,2009999.9999999998,64330.0,257950000.0
WYDE: End Hunger,EAT,0.0001957,1.75,2000000.0,8870.0,10260000000.0
LIBRA,LIBRA,0.006674,0.0,2000000.0,,299980000.0
Sharp,SHARP,0.0007441,0.67,1990000.0,75080.0,2680000000.0
Jesus Coin,JESUS,0.071318,1.29,1990000.0,2500.0,151420000000000.0
Humans.ai,HEART,0.0002541,1.92,1980000.0,100520.0,7800000000.0
BORGY,BORGY,2.556e-05,0.36,1980000.0,826.89,77570000000.0
Vertical AI,VERTAI,0.01621,2.26,1620000.0,335.35,100000000.0
KiboShib,KIBSHI,0.051614,0.04,1610000.0,103570.0,1000000000000.0
Bitcicoin,BITCI,0.0002087,0.0,1600000.0,,7700000000.0
Coinbase Tokenized Stock (Reality),rCOIN,145.94,0.63,1600000.0,468100.0,10970.0
Dora Factory,DORA,0.00298,1.36,1600000.0,151140.0,537270000.0
BioPassport Token,BIOT,0.0001817,0.0,1590000.0,23440.0,8790000000.0
toyow,TTN,0.06614,0.71,1590000.0,375690.0,24060000.0
Argentine Football Association Fan Token,ARG,0.08483,0.53,1580000.0,324580.0,18710000.0
Xterio,XTER,0.008069,0.27,1590000.0,1100000.0,197300000.0
Reserve AI Infrastructure Tokenized DTF,BUILDOUT,85.33,0.0,1580000.0,,18530.0
MIA,MIA,0.01306,0.0,1580000.0,23.89,121040000.0
HI,HI,2.544e-05,0.0,1570000.0,,62070000000.0
Reserve AI Photonics Tokenized DTF,PHOTON,76.34,0.0,1570000.0,,20640.0
Rarible,RARI,0.08076,0.19,1570000.0,238760.0,19480000.0
GALAXIA,GXA,0.0006107,9.2,1530000.0,30220.0,2510000000.0
Wells Fargo Tokenized Stock (Ondo),WFCon,86.51,0.61,1300000.0,277200.0,15050.0
Real Briefly,REAL,0.001959,0.01,1290000.0,98630.0,663490000.0
Tenset,10SET,0.009269,0.21,1290000.0,115470.0,139770000.0
Mastercard Tokenized Stock (Ondo),MAon,575.01,0.05,1290000.0,1320000.0,2250.0
Chamber,DHT,0.02365,0.02,1280000.0,,54380000.0
Defactor,REAL,0.004791,0.0,1280000.0,,267950000.0
Tottenham Hotspur Fan Token,SPURS,0.09708,0.19,1270000.0,92100.0,13170000.0
Make Aliens Great Again,MAGA,0.001307,5.66,1270000.0,56030.0,978220000.0
Perpetual Protocol,PERP,0.01936,0.55,1270000.0,49670.0,66000000.0
The White Whale,WHITEWHALE,0.001278,1.15,1270000.0,305210.0,999820000.0
GemHUB,GHUB,0.002533,0.15,1270000.0,87390.0,503180000.0
RENEC,RENEC,0.03546,0.01,1270000.0,,35890000.0
ShibaDoge,SHIBDOGE,0.0161021,0.01,1270000.0,385.44,
Cypherium,CPH,0.003314,0.38,1260000.0,54550.0,382950000.0
Adappter Token,ADP,0.0002702,0.63,1260000.0,23570.0,4680000000.0
Hoge Finance,HOGE,0.052714,0.12,1060000.0,150.33,393400000000.0
POOH,POOH,0.082534,0.48,1060000.0,23390.0,420690000000000.0
Portugal National Team Fan Token,POR,0.08036,0.0,1050000.0,267140.0,13180000.0
Saros,SAROS,0.000284,0.39,1050000.0,798580.0,3720000000.0
Hachiko,$HACHI,0.081081,3.39,1050000.0,36950.0,975810000000000.0
HashAI,HASHAI,1.247e-05,0.7,1050000.0,25090.0,84560000000.0
HyperGPT,HGPT,0.001116,0.2,1050000.0,232440.0,940890000.0
UNCX Network,UNCX,22.49,16.46,1040000.0,2020.0,46640.0
Radiant,RXD,6.599e-05,1.42,1040000.0,52780.0,15900000000.0
LayerX,LX,0.0001047,0.0,1040000.0,,10000000000.0
Bloom Energy Tokenized bStocks,BEB,206.65,0.74,1040000.0,1950000.0,5060.0
Hoppy (hoppy.vip),HOPPY,0.052489,0.46,1040000.0,41040.0,420690000000.0
Nietzschean Penguin,PENGUIN,0.001047,0.69,1040000.0,773890.0,999910000.0
NuNet,NTX,0.002075,0.95,1040000.0,118180.0,504080000.0
GameFi.org,GAFI,0.06965,0.01,1040000.0,95060.0,14950000.0
Lit Protocol,LITKEY,0.004011,0.0,882520.0,,220000000.0
CatSlap,SLAP,0.0002014,0.0,880500.0,,4370000000.0
